Database,Keyword,Seed keyword,Tags,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,SERP Features,Trend,Click potential,Competitors
us,pcsk9 price,pcsk9,,40,72.93,7.20,0.17,126000,"Adwords Top, Featured Snippet, People Also Ask","0.43,0.14,0.14,0.14,0.14,0.14,0.29,0.29,0.14,1.00,0.14,0.14",100,"""PCSK9 Inhibitors - Prices and Information - GoodRx"":""https://www.goodrx.com/pcsk9-inhibitors""
""Price reductions of PCSK9 inhibitors contributed to greater ..."":""https://www.healio.com/news/cardiology/20190516/price-reductions-of-pcsk9-inhibitors-contributed-to-greater-costeffectiveness""
""Amgen escalates PCSK9 pricing war with permanent 60 ..."":""https://www.fiercepharma.com/pharma/cholesterol-war-escalates-as-amgen-makes-60-price-cut-repatha-permanent""
""Are PCSK9 inhibitors about to take off? - PharmaTimes"":""http://www.pharmatimes.com/web_exclusives/are_pcsk9_inhibitors_about_to_take_off_1289184""
""PCSK9 inhibitor alirocumab not cost-effective despite price cut"":""https://www.cardiovascularbusiness.com/topics/healthcare-economics/pcsk9-inhibitor-alirocumab-poor-value""
""Regeneron, Sanofi cut PCSK9 list price, matching earlier ..."":""https://www.biopharmadive.com/news/regeneron-sanofi-cut-pcsk9-list-price-matching-earlier-move-by-rival-amge/548147/""
""PCSK9-Inhibitors: High Price to Pay for Improved Cardiac ..."":""https://www.jwatch.org/na48244/2019/01/24/pcsk9-inhibitors-high-price-pay-improved-cardiac-outcomes""
""PCSK9 Inhibitors: A Technology Worth Paying For? - NCBI - NIH"":""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4816976/""
""Second Price Cut for PCSK9 Inhibitor Alirocumab (Praluent)"":""https://www.medscape.com/viewarticle/908990""
""Alirocumab Price Cut Makes Second PCSK9 Inhibitor More ..."":""https://www.tctmd.com/news/alirocumab-price-cut-makes-second-pcsk9-inhibitor-more-affordable"""
us,ezetimibe reviews,ezetimibe,,320,86.23,2.43,0.14,348000,"Featured Snippet, People Also Ask, Site Links, FAQ, Adwords Bottom","0.54,0.81,1.00,1.00,0.66,0.29,0.44,0.44,0.44,0.54,0.54,0.44",20,"""ezetimibe oral Reviews and User Ratings: Effectiveness, Ease ..."":""https://www.webmd.com/drugs/drugreview-64335-ezetim""
""Ezetimibe User Reviews for High Cholesterol at Drugs.com"":""https://www.drugs.com/comments/ezetimibe/for-hyperlipidemia.html""
""Zetia (Ezetimibe) Reviews | Everyday Health"":""https://www.everydayhealth.com/drugs/zetia/reviews""
""Zetia (ezetimibe): Basics, Side Effects & Reviews - GoodRx"":""https://www.goodrx.com/ezetimibe/what-is""
""Ezetimibe for the prevention of heart disease and death ..."":""https://www.cochrane.org/CD012502/VASC_ezetimibe-prevention-heart-disease-and-death""
""Ezetimibe: a review of its metabolism, pharmacokinetics and ..."":""https://pubmed.ncbi.nlm.nih.gov/15871634/""
""Ezetimibe: Side Effects, Dosage, Uses, and More - Healthline"":""https://www.healthline.com/health/ezetimibe-oral-tablet""
""10 Drugs You Should Avoid - Consumer Reports"":""https://www.consumerreports.org/cro/2014/03/10-drugs-you-should-skip/index.htm""
""ZETIA: Side Effects, Reviews by Patients - AskaPatient.com"":""https://www.askapatient.com/viewrating.asp?drug=21445&name=ZETIA""
""Side Effects of Zetia (Ezetimibe Tablets), Warnings, Uses"":""https://www.rxlist.com/zetia-side-effects-drug-center.htm"""
us,hydrophilic statins,statins,,590,74.58,1.71,0.06,189000,"Featured Snippet, People Also Ask, Site Links","0.67,0.54,0.82,0.82,0.67,0.54,0.54,1.00,0.82,0.82,0.82,1.00",20,"""Hydrophilic Statins Are Associated With a Lower Risk of ..."":""https://www.ahajournals.org/doi/10.1161/circ.136.suppl_1.17590""
""Statin Toxicity | Circulation Research - AHA Journals"":""https://www.ahajournals.org/doi/full/10.1161/CIRCRESAHA.118.312782""
""Comparison of Clinical Outcomes of Hydrophilic and ..."":""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3192202/""
""Considerations in the Approach to Appropriate Statin Selection"":""https://www.uspharmacist.com/article/considerations-in-the-approach-to-appropriate-statin-selection""
""Which Statin Is Right for My Patient? - Medscape"":""https://www.medscape.com/viewarticle/561128""
""Lipophilic versus hydrophilic statin therapy for heart failure: a ..."":""https://systematicreviewsjournal.biomedcentral.com/articles/10.1186/2046-4053-2-22""
""Hydrophilic Versus a Lipophilic Statin - How to Choose? - Med ..."":""https://www.meded101.com/hydrophilic-versus-a-lipophilic-statin-how-to-choose/""
""Lipophilic statins associated with significantly reduced ..."":""https://acpinternist.org/weekly/archives/2019/08/20/1.htm""
""Hydrophilic vs lipophilic statins in coronary artery disease: A ..."":""https://www.lipidjournal.com/article/S1933-2874(17)30071-5/pdf""
""Statin use may lead to 'unintended consequence' of insulin ..."":""https://www.healio.com/news/endocrinology/20200605/statin-use-may-lead-to-unintended-consequence-of-insulin-resistance"""
us,alirocumab pcsk9,pcsk9,,30,82.19,0.00,0.06,112000,"Site Links, People Also Ask, Adwords Bottom","1.00,0.14,0.14,0.14,1.00,0.14,1.00,0.14,0.14,0.14,0.14,0.14",20,"""Alirocumab: PCSK9 inhibitor for LDL cholesterol reduction"":""https://pubmed.ncbi.nlm.nih.gov/25244623/""
""Relationship between alirocumab, PCSK9, and LDL ... - PubMed"":""https://pubmed.ncbi.nlm.nih.gov/31708410/""
""Praluent (Alirocumab): First PCSK9 Inhibitor Approved by the ..."":""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5013849/""
""A Systematic Review of PCSK9 Inhibitors ... - PubMed"":""https://pubmed.ncbi.nlm.nih.gov/27231792/""
""Alirocumab - Wikipedia"":""https://en.wikipedia.org/wiki/Alirocumab""
""Relationship between alirocumab, PCSK9, and LDL-C levels ..."":""https://www.sciencedirect.com/science/article/pii/S1933287419302880""
""Results on Evolocumab and Alirocumab for Lipid-Lowering ..."":""https://www.ajmc.com/view/results-on-evolocumab-and-alirocumab-for-lipid-drug-therapy-revealed-at-esc""
""FDA Expands Indication for PCSK9 Alirocumab (Praluent)"":""https://www.medscape.com/viewarticle/912382""
""PCSK9 inhibition as a novel therapeutic target for alcoholic ..."":""https://www.nature.com/articles/s41598-019-53603-6""
""Effects of PCSK9 Inhibition With Alirocumab on Lipoprotein ..."":""https://www.ahajournals.org/doi/10.1161/CIRCULATIONAHA.116.025253"""
us,ezetimibe food interactions,ezetimibe,,260,89.69,0.00,0.00,206000,"Featured Snippet, People Also Ask, FAQ","0.67,0.54,0.44,0.23,0.82,0.82,0.28,0.44,0.67,0.54,1.00,1.00",100,"""Foods to Avoid When Taking Ezetimibe-Atorvastatin Oral"":""https://www.webmd.com/drugs/2/drug-164168/ezetimibe-atorvastatin-oral/details/list-interaction-food""
""Ezetimibe/simvastatin and Alcohol / Food Interactions - Drugs ..."":""https://www.drugs.com/food-interactions/ezetimibe-simvastatin.html""
""Atorvastatin/ezetimibe and Alcohol / Food Interactions - Drugs ..."":""https://www.drugs.com/food-interactions/atorvastatin-ezetimibe.html""
""Ezetimibe Interaction with Food, Herbs and Alcohol - Medindia"":""https://www.medindia.net/drugs/drug-food-interactions/ezetimibe.htm""
""Ezetimibe (Oral Route) Side Effects - Mayo Clinic"":""https://www.mayoclinic.org/drugs-supplements/ezetimibe-oral-route/side-effects/drg-20067172?p=1""
""ezetimibe-simvastatin Food, Alcohol, Supplements and Drug ..."":""https://www.wellrx.com/ezetimibe-simvastatin/lifestyle-interactions/""
""Ezetimibe - Side Effects, Uses, Dosage, Overdose, Pregnancy ..."":""http://www.rxwiki.com/ezetimibe""
""ezetimibe and simvastatin | Michigan Medicine"":""https://www.uofmhealth.org/health-library/d05348a1""
""Ezetimibe: a medicine used to treat high blood cholesterol - NHS"":""https://www.nhs.uk/medicines/ezetimibe/""
""Ezetimibe: a review of its metabolism, pharmacokinetics and ..."":""https://pubmed.ncbi.nlm.nih.gov/15871634/"""
us,pcsk9 loss of function mutation,pcsk9,,50,78.99,0.00,0.04,79,"Featured Snippet, Site Links, People Also Ask","0.11,0.11,0.11,1.00,0.11,0.11,0.11,0.11,0.22,0.44,0.56,0.11",20,"""Loss-of-function mutation of PCSK9 as a protective factor in ..."":""https://journals.lww.com/md-journal/fulltext/2020/08210/loss_of_function_mutation_of_pcsk9_as_a_protective.54.aspx""
""PCSK9 function and physiology - NCBI - NIH"":""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2386899/""
""A novel loss of function mutation of PCSK9 gene in ... - PubMed"":""https://pubmed.ncbi.nlm.nih.gov/17170371/""
""A Novel Loss of Function Mutation of PCSK9 Gene in White ..."":""https://www.ahajournals.org/doi/full/10.1161/01.ATV.0000255311.26383.2f""
""Effect of mutations in the PCSK9 gene on the cell surface LDL ..."":""https://academic.oup.com/hmg/article/15/9/1551/628146""
""PCSK9 R46L Loss-of-Function Mutation Reduces Lipoprotein(a)"":""https://academic.oup.com/jcem/article/101/9/3281/2806479""
""PCSK9 loss-of-function mutations | Download Table"":""https://www.researchgate.net/figure/PCSK9-loss-of-function-mutations_tbl2_313385366""
""PCSK9 as a therapeutic target for cardiovascular disease ..."":""https://www.spandidos-publications.com/10.3892/etm.2017.4055""
""PCSK9 gene: MedlinePlus Genetics"":""https://medlineplus.gov/genetics/gene/pcsk9/""
""PCSK9 loss-of-function variants and risk of infection and ..."":""https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0210808"""
us,pcsk9 inhibitors ppt 2018,pcsk9,,20,73.76,0.00,0.00,0,Adwords Top,"0.80,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",90,"""PCSK9 Inhibitors"":""https://cce.upmc.com/sites/default/files/Weselak%20CE%20Presentation%20Oct%202019_0.ppt""
""What are PCSK9 inhibitors? & When should you use them?"":""https://www.slideshare.net/DukeHeartCenter/what-are-pcsk9-inhibitors-when-should-you-use-them""
""Trial Drug Result"":""https://metrohealth.net/hvwinterconference/wp-content/uploads/2018/01/PCSK9-Kovack.pptx""
""Update on PCSK9 Inhibitors - American College of Cardiology"":""https://www.acc.org/~/media/Non-Clinical/Files-PDFs-Excel-MS-Word-etc/Meetings/2016/Course%20PDFs/Core%20Curriculum/Sat%20Post/Sat%206%2030%20am%20Byrne.pdf?la=en""
""Slides: Landmark trials with PCSK9 inhibitors - PACE-CME"":""https://pace-cme.org/2018/12/10/slides-landmark-trials-with-pcsk9-inhibitors/""
""Reduced Lp(a) with PCSK9 inhibitors in ... - PACE-CME"":""https://pace-cme.org/pcsk9/""
""pcsk9 inhibition - PCSK9 Forum"":""http://www.pcsk9forum.org/ebooks/1/PCSK9_clincians_handbook.pdf""
""PCSK9 Inhibitors in Lipid Management of Patients With ..."":""https://www.ahajournals.org/doi/full/10.1161/jaha.118.008953""
""Cardiovascular Outcomes of PCSK9 Inhibitors: With Special ..."":""https://www.hindawi.com/journals/jl/2018/3179201/""
""https://www.sacmc.com/Uploads/Public/Documents/all..."":""https://www.sacmc.com/Uploads/Public/Documents/all-new-documents/division-2/san-angelo/presentation%206%20-%20PCSK9%20inhibitors.pdf"""
us,what does pcsk9 stand for,pcsk9,,70,79.74,8.81,0.14,54600,"Adwords Top, Featured Snippet, People Also Ask, Site Links","0.11,0.11,0.11,0.11,0.44,0.78,0.11,0.11,0.78,1.00,0.11,0.22",20,"""How Do PCSK9 Inhibitors Lower Cholesterol? - WebMD"":""https://www.webmd.com/cholesterol-management/pcsk9-inhibitors-treatment""
""PCSK9 inhibition: A game changer in cholesterol ..."":""https://www.mayoclinic.org/medical-professionals/cardiovascular-diseases/news/pcsk9-inhibition-a-game-changer-in-cholesterol-management/mac-20430713""
""PCSK9 gene: MedlinePlus Genetics"":""https://medlineplus.gov/genetics/gene/pcsk9/""
""PCSK9 function and physiology - NCBI - NIH"":""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2386899/""
""PCSK9 inhibitors Cholesterol Treatment & any side effects"":""https://www.heartuk.org.uk/getting-treatment/pcsk9-inhibitors""
""List of PCSK9 inhibitors - Drugs.com"":""https://www.drugs.com/drug-class/pcsk9-inhibitors.html""
""PCSK9 Inhibitors for Cholesterol Treatment - Drugs.com"":""https://www.drugs.com/slideshow/pcsk9-inhibitors-for-cholesterol-treatment-1166""
""PCSK9 Inhibitors vs. Statins: What's the Difference? - Healthline"":""https://www.healthline.com/health/high-cholesterol/pcsk9-inhibitors-vs-statins""
""PCSK9 Gene - GeneCards | PCSK9 Protein | PCSK9 Antibody"":""https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCSK9""
""PCSK9 Inhibitors | Ten Points to Remember - American ..."":""https://www.acc.org/latest-in-cardiology/ten-points-to-remember/2015/05/21/22/54/pcsk9-proprotein-convertase-subtilisin-kexin-type-9-inhibitors"""
us,lipophilic statins,statins,,320,76.56,1.69,0.08,172000,"Featured Snippet, People Also Ask, Site Links","0.08,0.13,0.30,0.08,0.11,0.13,0.25,1.00,0.08,0.25,0.08,0.08",20,"""Statin Toxicity | Circulation Research - AHA Journals"":""https://www.ahajournals.org/doi/full/10.1161/CIRCRESAHA.118.312782""
""Use of Lipophilic Statins is Associated with Lower Mortality ..."":""https://www.aacr.org/about-the-aacr/newsroom/news-releases/use-of-lipophilic-statins-is-associated-with-lower-mortality-from-ovarian-cancer/""
""Considerations in the Approach to Appropriate Statin Selection"":""https://www.uspharmacist.com/article/considerations-in-the-approach-to-appropriate-statin-selection""
""Which Statin Is Right for My Patient? - Medscape"":""https://www.medscape.com/viewarticle/561128""
""Lipophilic Statins and the Risk of Intracranial Hemorrhage ..."":""https://pubmed.ncbi.nlm.nih.gov/28620871/""
""Comparison of Clinical Outcomes of Hydrophilic and ..."":""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3192202/""
""Lipophilic statins associated with significantly reduced ..."":""https://acpinternist.org/weekly/archives/2019/08/20/1.htm""
""The Role of Lipophilic Statins in Reducing Epithelial Ovaria ..."":""https://journals.lww.com/oncology-times/Fulltext/2020/08050/The_Role_of_Lipophilic_Statins_in_Reducing.12.aspx""
""Lipophilic Statins and Risk for Hepatocellular Carcinoma and ..."":""https://www.acpjournals.org/doi/10.7326/M18-2753""
""Hydrophilic vs lipophilic statins in coronary artery disease: A ..."":""https://www.lipidjournal.com/article/S1933-2874(17)30071-5/pdf"""
us,moderate to high intensity statin list,high intensity statin,,30,72.78,0.00,0.00,618000,"Featured Snippet, People Also Ask, Image Pack","0.20,0.20,0.20,0.60,0.20,0.20,0.20,0.20,0.20,0.20,0.40,1.00",100,"""Major Recommendations for Statin Therapy for Atherosclerotic ..."":""http://www.mplsheart.com/wp-content/uploads/2014/10/S413160-20871-MHI-Statin-Therapy-Algorithm-4.pdf""
""Table 5. Statin Dose Intensity and Equivalency Chart*"":""http://www.mqic.org/pdf/UMHS_Statin_Dose_Intensity_and_Equivalency_Chart.pdf""
""Lipid-Modifying Therapy: A New Paradigm"":""https://www.jwatch.org/na32828/2013/11/12/lipid-modifying-therapy-new-paradigm""
""High and Moderate Intensity Statin Therapy Following Stroke ..."":""https://www.aan.com/siteassets/home-page/policy-and-guidelines/quality/quality-measures/17srstatintherapy_pg.pdf""
""What are the AHA/ACC guidelines for statin therapy intensity ..."":""https://www.medscape.com/answers/164214-100918/what-are-the-ahaacc-guidelines-for-statin-therapy-intensity-to-prevent-coronary-artery-disease-cad""
""Guidelines | LIPITOR® (atorvastatin calcium)"":""https://www.lipitorhcp.com/guidelines""
""Cholesterol guidelines - Straight Healthcare"":""https://www.straighthealthcare.com/cholesterol-treatment-guidelines.html""
""Considerations in the Approach to Appropriate Statin Selection"":""https://www.uspharmacist.com/article/considerations-in-the-approach-to-appropriate-statin-selection""
""Statin Dose Comparison - Epocrates"":""https://www.epocrates.com/sites/default/files/res/dacc/2017/StatinDoseTablePL1703.pdf""
""WHEN AND HOW TO PRESCRIBE STATINS"":""http://www.ksw-gtg.com/aha-hcp-cholesterol/pdfs/Section2.pdf"""
us,pcsk9 inhibitor praluent,pcsk9,,20,78.26,3.68,0.34,90800,"Adwords Top, Featured Snippet, People Also Ask","0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.00",100,"""Alirocumab (Praluent): First in the New Class of PCSK9 ..."":""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4699483/""
""PCSK9 inhibitors: Pharmacology, adverse effects, and use ..."":""https://www.uptodate.com/contents/pcsk9-inhibitors-pharmacology-adverse-effects-and-use""
""praluent - Investor Relations | Regeneron Pharmaceuticals Inc."":""https://investor.regeneron.com/static-files/011b72df-868b-44ee-bb58-181f48531478""
""PCSK9 inhibitors Cholesterol Treatment & any side effects"":""https://www.heartuk.org.uk/getting-treatment/pcsk9-inhibitors""
""How Do PCSK9 Inhibitors Lower Cholesterol? - WebMD"":""https://www.webmd.com/cholesterol-management/pcsk9-inhibitors-treatment""
""FDA Expands Indication for PCSK9 Alirocumab (Praluent)"":""https://www.medscape.com/viewarticle/912382""
""Praluent vs Repatha: Main Differences and Similarities"":""https://www.singlecare.com/blog/praluent-vs-repatha/""
""Are PCSK9 inhibitors about to take off? - PharmaTimes"":""http://www.pharmatimes.com/web_exclusives/are_pcsk9_inhibitors_about_to_take_off_1289184""
""FDA approves Praluent® (alirocumab) to prevent heart attack ..."":""http://www.news.sanofi.us/2019-04-26-FDA-approves-Praluent-R-alirocumab-to-prevent-heart-attack-stroke-and-unstable-angina-requiring-hospitalization""
""PCSK9 Inhibitor Alirocumab Receives Expanded Indication for ..."":""https://www.tctmd.com/news/pcsk9-inhibitor-alirocumab-receives-expanded-indication-cv-event-reduction"""
us,merck pcsk9 inhibitor,pcsk9,,70,79.76,4.16,0.21,49600,"Adwords Top, People Also Ask","0.60,1.00,0.20,1.00,0.80,0.60,0.20,0.20,0.20,0.40,0.20,0.20",90,"""Merck succeeds where others failed, but skepticism abounds ..."":""https://www.biopharmadive.com/news/merck-cetp-inhibitor-surprise-reveal-outcomes-anacetrapib/445940/""
""PCSK9 Inhibitor, EGF-A - Calbiochem | 508761 - EMD Millipore"":""https://www.emdmillipore.com/US/en/product/PCSK9-Inhibitor-EGF-A-Calbiochem,EMD_BIO-508761""
""Merck & Co. Scraps Experimental Cholesterol Drug ..."":""https://www.biospace.com/article/merck-and-co-scraps-experimental-cholesterol-drug-anacetrapib-/""
""A small molecule inhibitor of PCSK9 that antagonizes LDL ..."":""https://www.sciencedirect.com/science/article/pii/S0968089620301346""
""Series of Novel and Highly Potent Cyclic Peptide PCSK9 ..."":""https://pubs.acs.org/doi/abs/10.1021/acs.jmedchem.0c01084""
""Fragment-based design of small molecule PCSK9 ... - PLoS"":""https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0225780""
""Merck Abandons Plans to Seek FDA Approval of ... - Xconomy"":""https://xconomy.com/new-york/2017/10/11/merck-abandons-plans-to-seek-fda-approval-of-cholesterol-drug/""
""PCSK9 - Wikipedia"":""https://en.wikipedia.org/wiki/PCSK9""
""Fragment-based design of small molecule ... - NCBI - NIH"":""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6894869/""
""PCSK9 inhibitors – from discovery of a single mutation to a ..."":""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5510512/"""
us,ezetimibe class,ezetimibe,,720,88.77,2.42,0.04,458000,"Featured Snippet, People Also Ask, Site Links","0.45,0.37,1.00,0.63,0.45,0.37,0.55,0.37,0.20,0.20,0.16,0.24",20,"""Ezetimibe: the first in a novel class of selective cholesterol ..."":""https://pubmed.ncbi.nlm.nih.gov/12441019/""
""Zetia (Ezetimibe Tablets): Uses, Dosage, Side Effects ... - RxList"":""https://www.rxlist.com/zetia-drug.htm""
""ezetimibe (Zetia) Uses, Side Effects & Dosage - MedicineNet"":""https://www.medicinenet.com/ezetimibe/article.htm""
""Ezetimibe - Wikipedia"":""https://en.wikipedia.org/wiki/Ezetimibe""
""Ezetimibe | DrugBank Online"":""https://go.drugbank.com/drugs/DB00973""
""Ezetimibe: Side Effects, Dosage, Uses, and More - Healthline"":""https://www.healthline.com/health/ezetimibe-oral-tablet""
""Ezetimibe Oral : Uses, Side Effects, Interactions, Pictures ..."":""https://www.webmd.com/drugs/2/drug-64335/ezetimibe-oral/details""
""Zetia (ezetimibe) dosing, indications, interactions, adverse ..."":""https://reference.medscape.com/drug/zetia-ezetimibe-342454""
""Ezetimibe: The Lower the LDL-C, the Better (Even for Total ..."":""https://www.acc.org/latest-in-cardiology/articles/2016/03/09/06/50/ezetimibe-the-lower-the-ldlc-the-better""
""Zetia (ezetimibe): Basics, Side Effects & Reviews - GoodRx"":""https://www.goodrx.com/ezetimibe/what-is"""
us,ezetimibe simvastatin 10 40 mg,ezetimibe,,70,87.31,0.00,0.09,403000,"People Also Ask, Site Links","0.10,0.14,1.00,0.52,0.43,0.05,0.19,0.05,0.14,0.05,0.05,0.10",20,"""Ezetimibe-Simvastatin Oral : Uses, Side Effects, Interactions ..."":""https://www.webmd.com/drugs/2/drug-91437/ezetimibe-simvastatin-oral/details""
""Vytorin (Ezetimibe and Simvastatin): Uses, Dosage, Side ..."":""https://www.rxlist.com/vytorin-drug.htm""
""Ezetimibe/Simvastatin (Vytorin) Side Effects & Dosage"":""https://www.medicinenet.com/ezetimibe_and_simvastatin/article.htm""
""Ezetimibe And Simvastatin (Oral Route) Side Effects - Mayo ..."":""https://www.mayoclinic.org/drugs-supplements/ezetimibe-and-simvastatin-oral-route/side-effects/drg-20062939?p=1""
""Ezetimibe and simvastatin Uses, Side Effects & Warnings ..."":""https://www.drugs.com/mtm/ezetimibe-and-simvastatin.html""
""Ezetimibe/Simvastatin (10 mg/40 mg) vs. the Doubling of ..."":""https://www.clinicaltrials.gov/ct2/show/NCT00782184""
""Ezetimibe/simvastatin 10/40 mg versus atorvastatin 40 mg in ..."":""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3306831/""
""Ezetimibe/simvastatin 10/20 mg versus simvastatin 40 mg in ..."":""https://pubmed.ncbi.nlm.nih.gov/21122660/""
""Ezetimibe, Simvastatin Oral tablet 10-40mg Drug Medication ..."":""https://www.cvs.com/drug/ezetimibe-simvastatin/oral-tablet/10-40mg""
""Vytorin (ezetimibe / simvastatin): Basics, Side Effects & Reviews"":""https://www.goodrx.com/vytorin/what-is"""
us,statin moa,statins,,880,87.87,0.00,0.00,92,"Featured Snippet, People Also Ask, Site Links","0.59,0.48,0.72,0.88,0.88,0.88,0.88,0.88,0.88,0.88,1.00,1.00",20,"""Statins: mechanism of action and effects - PubMed"":""https://pubmed.ncbi.nlm.nih.gov/12067471/""
""Statin Medications - StatPearls - NCBI Bookshelf"":""https://www.ncbi.nlm.nih.gov/books/NBK430940/""
""Statin - Wikipedia"":""https://en.wikipedia.org/wiki/Statin""
""Statins - AMBOSS"":""https://www.amboss.com/us/knowledge/Statins""
""Mechanism of action of Statins - YouTube"":""https://www.youtube.com/watch?v=2l8eyyZhXUM""
""Statins Mechanism Of Action *Animated - YouTube"":""https://www.youtube.com/watch?v=GGujNNt_q9Q""
""Statins: Side effects, uses, function, and risks"":""https://www.medicalnewstoday.com/articles/8274""
""How Statins Work: The Development of Cardiovascular ..."":""https://www.medscape.org/viewarticle/416521_13""
""Atorvastatin | DrugBank Online"":""https://go.drugbank.com/drugs/DB01076""
""HMG-CoA Reductase Inhibitors Article - StatPearls"":""https://www.statpearls.com/ArticleLibrary/viewarticle/22953"""
us,ezetimibe pronounce,ezetimibe,,260,82.01,0.00,0.00,74,"Featured Snippet, Video Carousel, People Also Ask, Reviews, Image Pack, Adwords Bottom","0.18,0.67,0.54,0.67,0.13,0.18,1.00,1.00,1.00,1.00,0.44,0.36",100,"""How to Pronounce Ezetimibe (Zetia) Correctly - ClinCalc"":""https://clincalc.com/PronounceTop200Drugs/HowToPronounce/ezetimibe""
""How to Pronounce Ezetimibe; simvastatin (Vytorin) Correctly"":""https://clincalc.com/PronounceTop200Drugs/HowToPronounce/ezetimibesimvastatin""
""Ezetimibe Medical Definition | Merriam-Webster Medical ..."":""https://www.merriam-webster.com/medical/ezetimibe""
""Unpronounceable drug names - NCBI - NIH"":""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6299177/""
""How to pronounce Ezetimibe | HowToPronounce.com"":""https://www.howtopronounce.com/ezetimibe""
""How to pronounce ezetimibe zetia | HowToPronounce.com"":""https://www.howtopronounce.com/ezetimibe-zetia""
""Ezetimibe - Wikipedia"":""https://en.wikipedia.org/wiki/Ezetimibe""
""ezetimibe pronunciation: How to pronounce ezetimibe in English"":""https://forvo.com/word/ezetimibe/""
""ezetimibe - Wiktionary"":""https://en.wiktionary.org/wiki/ezetimibe""
""Ezetimibe: MedlinePlus Drug Information"":""https://medlineplus.gov/druginfo/meds/a603015.html"""
us,pcsk9 triglycerides,pcsk9,,50,81.63,0.00,0.05,179000,"Featured Snippet, People Also Ask, Site Links","0.20,0.20,0.20,0.40,0.20,0.80,1.00,0.20,0.20,0.20,0.20,0.60",20,"""PCSK9 Inhibitors in Lipid Management of Patients With ..."":""https://www.ahajournals.org/doi/full/10.1161/jaha.118.008953""
""PCSK9 inhibition to reduce cardiovascular disease risk: recent ..."":""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4384821/""
""Beyond LDL: What Role for PCSK9 in Triglyceride ... - PubMed"":""https://pubmed.ncbi.nlm.nih.gov/29665987/""
""The Effect of Proprotein Convertase Subtilisin/Kexin Type 9 ..."":""https://www.hindawi.com/journals/jl/2018/9194736/""
""The PCSK9 revolution: Current status, controversies, and ..."":""https://www.sciencedirect.com/science/article/pii/S1050173819300726""
""PCSK9 INHIBITION-MEDIATED REDUCTION IN ... - JACC"":""https://www.jacc.org/doi/abs/10.1016/s0735-1097%2816%2931867-8""
""How Do PCSK9 Inhibitors Lower Cholesterol? - WebMD"":""https://www.webmd.com/cholesterol-management/pcsk9-inhibitors-treatment""
""The Evolving Future of PCSK9 Inhibitors - American College ..."":""https://www.acc.org/latest-in-cardiology/ten-points-to-remember/2018/07/12/14/49/the-evolving-future-of-pcsk9-inhibitors""
""Effects of PCSK9 Inhibitors on Other than Low-Density ..."":""https://journals.sagepub.com/doi/pdf/10.1177/1074248417724868""
""PCSK9 Inhibitors for Lowering Cholesterol: Ready for Prime ..."":""https://mplsheart.org/journal-of-the-minneapolis-heart-institute-foundation/volume-1-issue-1-january-2017/pcsk9-inhibitors-for-lowering-cholesterol-ready-for-prime-time/"""
